+----------+-------------+------------------------------------------+------------+----------+----------+
|   CODIGO | CATEGORIA   | DESCRIPCION                              |   CANTIDAD |   PRECIO |      PVP |
|     7563 | FERRETERIA  | REGLA METALICA DE 300 MM                 |         11 |   740.00 |   955.50 |
|      324 | FERRETERIA  | ESCUADRA MAGNETICA DE 3 PULGADAS         |          7 |  2500.00 |  2945.00 |
|      236 | FERRETERIA  | LIMA BASTARDA 8 PULGADAS                 |         25 |  2500.00 |  2950.00 |
|    45876 | FERRETERIA  | MECHA ACERO RAPIDO 8MM                   |         10 |   942.00 |  1050.00 |
|    45880 | FERRETERIA  | MECHA ACERO RAPIDO 10MM                  |         11 |  1200.00 |  1350.00 |
|    85648 | FERRETERIA  | PINZA UNIVERSAL 8 PULGADAS               |         16 |  1500.00 |  1600.25 |
|    56537 | FERRETERIA  | PRENSA "G" 4 PULGADAS                    |          3 |  3000.00 |  4000.00 |
|    34343 | BULONERIA   | TORNILLO PRISIONERO M8                   |        333 |    35.00 |    55.00 |
|    45881 | FERRETERIA  | MECHA ACERO RAPIDO 10.5MM                |         13 |  1250.00 |  1400.00 |
|    34344 | BULONERIA   | TORNILLO PRISIONERO M10                  |        100 |    50.00 |    65.00 |
|    45878 | FERRETERIA  | MECHA ACERO RAPIDO 6MM                   |         12 |  1250.00 |  1450.00 |
|   345345 | FERRETERIA  | LLAVE PICO DE LORO 6 PLGADAS             |          4 |  3000.00 |  3500.00 |
|        2 | BULONERIA   | TORNILLO FIX 5X55MM                      |        100 |    23.00 |    25.00 |
|      999 | BULONERIA   | PRODUCTO                                 |          2 |     2.00 |     2.00 |
|  1234567 | BULONERIA   | TORNILLO FIX 3X16MM                      |        200 |    12.00 |    15.00 |
|  1234565 | FERRETERIA  | LLAVE INGLESA DE 10 PULGADAS             |          4 |  2500.00 |  3000.00 |
|       23 | FERRETERIA  | PINZA DE PUNTA RECTA 6 PULGADAS          |          2 |  5500.00 |  7000.00 |
|       24 | FERRETERIA  | PINZA CRIMPEADORA TERMINALES TIFF 0-16MM |          2 | 20000.00 | 24570.00 |
|       25 | BULONERIA   | TUERCA M8 DUREZA 8                       |        200 |    12.00 |    15.00 |
|       26 | FERRETERIA  | JUEGO DE LLAVES ALLEN MILIMETRICAS       |          2 | 10000.00 | 12000.00 |
|       22 | BULONERIA   | TUERCA CASTILLO M10                      |        100 |    50.00 |    60.00 |
|    25642 | FERRETERIA  | ARCO DE SIERRA                           |          2 |  5000.00 |  6000.00 |
|    35426 | FERRETERIA  | ESCUADRA CON SOMBRERO 150MM NORMA DIN    |          2 |  7500.00 |  8365.40 |
|     2323 | FERRETERIA  | PUNTA DE TRZAR DE WIDIA                  |         12 |  1200.00 |  1450.00 |
+----------+-------------+------------------------------------------+------------+----------+----------+
